1,2,3,4,5,6,7,8,9,10,11
010,01030,2850,"6 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,3890,"6 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
600,60004,4150,"940 000,00","940 000,00","237 500,00","0,00","0,00","0,00","0,00","0,00"
600,60004,6060,"10 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,70814,"950 000,00","940 000,00","237 500,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
600,60013,4300,"107 566,00","107 566,00","34 420,00","0,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
"",,70963,"544 566,00","107 566,00","34 420,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
600,60014,4300,"150 000,00","25 000,00","25 000,00","0,00","0,00","0,00","0,00","0,00"
"",,64914,"150 000,00","25 000,00","25 000,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
600,60016,4170,"10 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
600,60016,4210,"30 000,00","8 133,00","8 133,00","0,00","0,00","0,00","0,00","0,00"
600,60016,4260,"10 000,00","720,52","720,52","0,00","0,00","0,00","0,00","0,00"
600,60016,4270,"470 000,00","184 007,56","184 007,56","0,00","0,00","0,00","0,00","0,00"
600,60016,4300,"420 000,00","179 248,70","179 226,20","22,50","0,00","0,00","0,00","0,00"
600,60016,4430,"45 000,00","16 792,41","16 792,41","0,00","0,00","0,00","0,00","0,00"
600,60016,4590,"43 000,00","500,00","500,00","0,00","0,00","0,00","0,00","0,00"
600,60016,6050,"12 041 110,00","6 334 015,53","5 539,56","15,00","0,00","0,00","0,00","0,00"
"",,96896,"13 069 110,00","6 723 417,72","394 919,25","37,50","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
630,63095,6050,"50 000,00","12 300,00","12 300,00","0,00","0,00","0,00","0,00","0,00"
"",,69775,"50 000,00","12 300,00","12 300,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
700,70005,4210,"30 000,00","3 485,85","3 485,85","0,00","0,00","0,00","0,00","0,00"
700,70005,4260,"565 000,00","115 525,16","114 822,70","702,46","0,00","0,00","0,00","0,00"
700,70005,4270,"350 000,00","95 619,63","95 619,63","0,00","0,00","0,00","0,00","0,00"
700,70005,4300,"895 000,00","317 365,49","241 201,27","0,00","0,00","0,00","0,00","0,00"
700,70005,4400,"800 000,00","190 356,25","190 356,25","0,00","0,00","0,00","0,00","0,00"
700,70005,4430,"16 000,00","11 755,61","11 755,61","0,00","0,00","0,00","0,00","0,00"
700,70005,4480,"30 000,00","6 127,00","6 127,00","0,00","0,00","0,00","0,00","0,00"
700,70005,4600,"30 000,00","4 430,52","4 430,52","0,00","0,00","0,00","0,00","0,00"
700,70005,4610,"30 000,00","517,96","517,96","0,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
700,70005,6060,"200 000,00","98 186,00","64 186,00","34 000,00","0,00","0,00","0,00","0,00"
"",,116325,"2 946 000,00","843 369,47","732 502,79","34 702,46","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
700,70095,4300,"7 900,00","7 900,00","7 900,00","0,00","0,00","0,00","0,00","0,00"
700,70095,6050,"2 556 200,00","1 174 542,72","496 421,56","0,00","0,00","0,00","0,00","0,00"
"",,81145,"2 564 100,00","1 182 442,72","504 321,56","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
710,71004,4110,"500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
710,71004,4120,"500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
710,71004,4170,"19 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
710,71004,4300,"230 000,00","136 216,73","26 269,09","0,00","0,00","0,00","0,00","0,00"
"",,88414,"250 000,00","136 216,73","26 269,09","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
710,71012,4300,"125 000,00","14 984,70","14 109,70","875,00","0,00","0,00","0,00","0,00"
710,71012,4380,"2 000,00","473,55","473,55","0,00","0,00","0,00","0,00","0,00"
710,71012,4430,"25 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,84832,"152 000,00","15 458,25","14 583,25","875,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
710,71035,4270,"1 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
710,71035,4300,"78 000,00","26 000,00","19 500,00","6 500,00","0,00","0,00","0,00","0,00"
"",,80315,"79 000,00","26 000,00","19 500,00","6 500,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
750,75011,3020,"2 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75011,4010,"466 616,00","431 860,14","94 399,01","8 745,13","0,00","0,00","0,00","0,00"
750,75011,4040,"39 478,00","35 819,89","24 958,17","10 861,72","0,00","0,00","0,00","0,00"
750,75011,4110,"87 104,00","80 341,00","15 295,92","8 538,67","0,00","0,00","0,00","0,00"
750,75011,4120,"12 414,00","10 110,83","1 572,10","1 411,27","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
750,75011,4210,"6 000,00","1 523,65","1 523,65","0,00","0,00","0,00","0,00","0,00"
750,75011,4220,"5 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75011,4300,"12 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75011,4440,"8 751,00","8 751,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,112231,"639 363,00","568 406,51","137 748,85","29 556,79","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
750,75022,3030,"248 000,00","230 557,50","41 897,50","21 140,00","0,00","0,00","0,00","0,00"
750,75022,4210,"1 000,00","110,00","110,00","0,00","0,00","0,00","0,00","0,00"
750,75022,4220,"4 000,00","430,40","430,40","0,00","0,00","0,00","0,00","0,00"
750,75022,4300,"7 000,00","5 733,60","1 551,60","418,20","0,00","0,00","0,00","0,00"
"",,91532,"260 000,00","236 831,50","43 989,50","21 558,20","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
750,75023,3020,"39 480,00","22 781,18","22 781,18","0,00","0,00","0,00","0,00","0,00"
750,75023,4010,"5 068 911,00","4 626 718,85","1 199 688,98","115 941,03","0,00","0,00","0,00","0,00"
750,75023,4040,"408 341,00","376 539,43","264 414,90","112 124,53","0,00","0,00","0,00","0,00"
750,75023,4100,"20 000,00","723,00","670,00","53,00","0,00","0,00","0,00","0,00"
750,75023,4110,"931 338,00","865 598,95","208 750,36","128 757,60","0,00","0,00","0,00","0,00"
750,75023,4120,"130 477,00","87 011,30","18 595,87","14 284,58","0,00","0,00","0,00","0,00"
750,75023,4140,"4 600,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75023,4170,"229 000,00","77 599,74","51 875,42","13 514,32","0,00","0,00","0,00","0,00"
750,75023,4210,"288 800,00","102 842,35","84 490,15","18 352,20","0,00","0,00","0,00","0,00"
750,75023,4220,"22 000,00","3 322,07","3 322,07","0,00","0,00","0,00","0,00","0,00"
750,75023,4240,"25 000,00","2 548,16","2 548,16","0,00","0,00","0,00","0,00","0,00"
750,75023,4260,"190 000,00","96 238,37","70 770,26","162,27","0,00","0,00","0,00","0,00"
750,75023,4270,"72 930,00","5 891,70","2 291,70","0,00","0,00","0,00","0,00","0,00"
750,75023,4280,"25 000,00","2 043,00","2 043,00","0,00","0,00","0,00","0,00","0,00"
750,75023,4300,"493 445,00","177 628,29","120 513,79","5 115,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
750,75023,4360,"60 000,00","28 016,28","8 763,21","0,00","0,00","0,00","0,00","0,00"
750,75023,4410,"30 000,00","16 419,24","3 734,62","497,00","0,00","0,00","0,00","0,00"
750,75023,4420,"10 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75023,4430,"74 000,00","7 361,45","7 327,76","33,69","0,00","0,00","0,00","0,00"
750,75023,4440,"107 337,00","107 337,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75023,4530,"50 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75023,4580,"1 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75023,4610,"70 855,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75023,4700,"53 000,00","22 068,39","21 675,39","393,00","0,00","0,00","0,00","0,00"
750,75023,6050,"450 000,00","24 850,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75023,6060,"53 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,189853,"8 908 514,00","6 653 538,75","2 094 256,82","409 228,22","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
750,75075,4170,"4 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75075,4190,"8 000,00","499,00","499,00","0,00","0,00","0,00","0,00","0,00"
750,75075,4210,"64 000,00","702,90","532,90","170,00","0,00","0,00","0,00","0,00"
750,75075,4220,"2 500,00","752,40","752,40","0,00","0,00","0,00","0,00","0,00"
750,75075,4300,"221 500,00","103 004,44","102 684,84","319,60","0,00","0,00","0,00","0,00"
750,75075,4380,"4 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75075,4430,"6 000,00","3 732,72","3 732,72","0,00","0,00","0,00","0,00","0,00"
"",,105725,"310 000,00","108 691,46","108 201,86","489,60","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
750,75085,3020,"1 850,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
750,75085,4010,"657 000,00","611 869,20","141 642,91","14 700,63","0,00","0,00","0,00","0,00"
750,75085,4040,"49 000,00","48 861,06","48 861,06","0,00","0,00","0,00","0,00","0,00"
750,75085,4110,"122 200,00","111 861,91","25 449,94","8 601,66","0,00","0,00","0,00","0,00"
750,75085,4120,"16 700,00","7 542,01","1 741,02","583,86","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
750,75085,4170,"8 300,00","7 800,00","1 656,60","101,50","0,00","0,00","0,00","0,00"
750,75085,4210,"17 433,00","15 479,07","15 479,07","0,00","0,00","0,00","0,00","0,00"
750,75085,4260,"12 000,00","4 865,33","4 865,33","0,00","0,00","0,00","0,00","0,00"
750,75085,4280,"500,00","40,00","40,00","0,00","0,00","0,00","0,00","0,00"
750,75085,4300,"49 900,00","35 469,75","16 959,75","0,00","0,00","0,00","0,00","0,00"
750,75085,4360,"6 500,00","1 472,26","1 472,26","0,00","0,00","0,00","0,00","0,00"
750,75085,4440,"11 487,00","11 487,00","11 487,00","0,00","0,00","0,00","0,00","0,00"
750,75085,4700,"6 000,00","1 943,75","1 943,75","0,00","0,00","0,00","0,00","0,00"
"",,129855,"958 870,00","858 691,34","271 598,69","23 987,65","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
751,75101,4110,"602,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
751,75101,4120,"86,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
751,75101,4170,"3 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
751,75101,4210,"1 712,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,92462,"5 900,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
752,75212,4170,"600,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
752,75212,4210,"320,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,84344,"920,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
754,75405,6170,"50 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,82329,"50 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
754,75411,2300,"30 000,00","30 000,00","30 000,00","0,00","0,00","0,00","0,00","0,00"
754,75411,6170,"20 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,84635,"50 000,00","30 000,00","30 000,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11
754,75412,3020,"5 550,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
754,75412,4190,"600,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
754,75412,4210,"20 000,00","5 965,00","5 965,00","0,00","0,00","0,00","0,00","0,00"
754,75412,4260,"1 000,00","349,07","247,95","101,12","0,00","0,00","0,00","0,00"
754,75412,4270,"2 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
754,75412,4280,"4 000,00","35,00","35,00","0,00","0,00","0,00","0,00","0,00"
754,75412,4300,"9 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
754,75412,4430,"4 100,00","210,00","0,00","210,00","0,00","0,00","0,00","0,00"
754,75412,6050,"95 000,00","615,00","615,00","0,00","0,00","0,00","0,00","0,00"
"",,115176,"141 250,00","7 174,07","6 862,95","311,12","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
754,75414,4170,"900,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
754,75414,4260,"900,00","3,45","3,45","0,00","0,00","0,00","0,00","0,00"
754,75414,4300,"4 300,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,88898,"6 100,00","3,45","3,45","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
754,75416,4010,"950 000,00","858 800,97","194 121,73","20 664,44","0,00","0,00","0,00","0,00"
754,75416,4040,"77 000,00","68 501,16","47 731,76","20 769,40","0,00","0,00","0,00","0,00"
754,75416,4110,"178 000,00","147 663,65","22 722,34","24 298,09","0,00","0,00","0,00","0,00"
754,75416,4120,"26 000,00","20 478,80","3 197,95","3 239,05","0,00","0,00","0,00","0,00"
754,75416,4170,"20 000,00","3 229,00","2 838,23","390,77","0,00","0,00","0,00","0,00"
754,75416,4210,"41 000,00","4 290,33","3 131,77","1 158,56","0,00","0,00","0,00","0,00"
754,75416,4260,"35 000,00","10 899,16","10 899,16","0,00","0,00","0,00","0,00","0,00"
754,75416,4280,"2 000,00","184,00","184,00","0,00","0,00","0,00","0,00","0,00"
754,75416,4300,"25 500,00","1 722,65","1 632,63","90,02","0,00","0,00","0,00","0,00"
754,75416,4360,"11 000,00","2 262,99","2 262,99","0,00","0,00","0,00","0,00","0,00"
754,75416,4410,"1 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1,2,3,4,5,6,7,8,9,10,11
754,75416,4430,"5 500,00","2 126,74","2 126,74","0,00","0,00","0,00","0,00","0,00"
754,75416,4440,"21 000,00","1 750,00","1 750,00","0,00","0,00","0,00","0,00","0,00"
754,75416,4480,"3 000,00","624,00","624,00","0,00","0,00","0,00","0,00","0,00"
754,75416,4700,"4 000,00","523,00","523,00","0,00","0,00","0,00","0,00","0,00"
"",,140490,"1 400 000,00","1 123 056,45","293 746,30","70 610,33","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
754,75421,4210,"5 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
754,75421,4300,"900,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,84685,"5 900,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
754,75495,4430,"700,00","700,00","700,00","0,00","0,00","0,00","0,00","0,00"
754,75495,6050,"20 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,86729,"20 700,00","700,00","700,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
757,75702,8110,"1 500 000,00","222 444,95","222 444,95","0,00","0,00","0,00","0,00","0,00"
"",,84569,"1 500 000,00","222 444,95","222 444,95","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
758,75818,4810,"591 036,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,81386,"591 036,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"",,,,,,,,,,
801,80101,3020,"40 737,00","29 052,76","10 214,76","0,00","0,00","0,00","0,00","0,00"
801,80101,4010,"8 547 171,00","7 752 436,63","2 098 218,51","237 812,97","0,00","0,00","0,00","0,00"
801,80101,4040,"815 300,00","769 828,47","536 601,21","233 227,26","0,00","0,00","0,00","0,00"
